model,accuracy,precision_macro,recall_macro,f1_macro,deployed
Random Forest,0.9931818181818182,0.9935064935064936,0.993181818181818,0.9931775541531639,True
SVM,0.9886363636363636,0.9895710350255804,0.9886363636363634,0.9886735002267737,False
GaussianNB,0.9954545454545455,0.9958677685950413,0.9954545454545454,0.9954431533378901,False
